room_type_Entire home/apt,amenities,bathrooms,number_of_reviews,accommodates,review_scores_rating,bedrooms,host_response_rate,city_SF,beds,city_LA,host_identity_verified_t,cleaning_fee,instant_bookable_t,room_type_Private room,city_DC,property_type_House,cancellation_policy_strict,cancellation_policy_flexible,city_Chicago,city_NYC,cancellation_policy_moderate,property_type_Apartment,property_type_Condominium,property_type_Loft,bed_type_Real Bed,property_type_Townhouse,property_type_Other,property_type_Bed & Breakfast,bed_type_Futon
,86,,244.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,143,,320.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,116,,285.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,452,,239.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,435,,259.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,292,,423.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,605,,388.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,75,,233.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,108,,235.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,228,,276.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,118,,474.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,235,,374.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,181,,505.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,406,,353.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,397,,331.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,617,,334.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,461,,382.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,363,,380.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,710,,358.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,415,,265.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,163,,376.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,449,,315.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,476,,341.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,645,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,610,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,478,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,706,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,438,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,373,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,439,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,523,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,520,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,580,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,547,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,430,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,507,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,872,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,389,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,369,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,549,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,398,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,541,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,834,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,484,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,519,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,747,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,691,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,412,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,669,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,475,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,589,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,638,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,486,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,568,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,448,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,526,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,487,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,492,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,495,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,859,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,503,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,775,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,511,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,427,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,446,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,543,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,576,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,621,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,731,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,445,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,437,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,483,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,579,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,464,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,546,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,569,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,524,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,485,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,665,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,539,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,468,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,421,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,564,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,522,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,482,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,753,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,534,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,489,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,670,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,432,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,471,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,442,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,653,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,558,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,587,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,591,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,567,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,453,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,594,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,647,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,575,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,646,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,597,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,498,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,505,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,477,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,609,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,513,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,717,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,836,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,603,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,474,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,630,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,608,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,571,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,633,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,566,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,590,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,725,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,493,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,642,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,528,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,585,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,675,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,426,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,592,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,574,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,517,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,457,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,491,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,919,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,632,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,801,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,542,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,912,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,473,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,655,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,527,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,514,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,762,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,724,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,765,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,781,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,537,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,545,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,692,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,521,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,715,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,611,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,557,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,713,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,619,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,497,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,662,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,554,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,529,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,728,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,732,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,562,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,607,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,761,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,582,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,828,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,678,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,629,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,766,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,535,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,939,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,672,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,544,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,832,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,679,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,684,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,704,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,572,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,565,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,583,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,730,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,533,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,625,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,643,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,784,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,560,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,556,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,739,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,755,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,742,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,506,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,820,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,808,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,586,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,699,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,518,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,676,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,673,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,705,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,599,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,602,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,738,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,744,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,508,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,538,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,606,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,807,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,721,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,559,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1049,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,548,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,803,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,682,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,674,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1168,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,797,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,570,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,839,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,722,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,777,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,677,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,596,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1047,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,688,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,701,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,639,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,884,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,652,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,829,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,601,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,743,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,668,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,635,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,774,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,693,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1122,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,598,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,626,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,671,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,751,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,752,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,782,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,756,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,723,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,882,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,622,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,811,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,817,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,651,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,573,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,618,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,657,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,948,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,628,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,978,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,792,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,830,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,887,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,805,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,681,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1157,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,770,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,641,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,746,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,536,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,663,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,711,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,623,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,588,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,877,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,501,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,934,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,631,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,936,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,656,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,734,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,719,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,727,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,634,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,624,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,847,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,712,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,707,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,531,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,804,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,578,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1035,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,552,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,740,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,835,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,659,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,815,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1062,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,718,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,604,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,897,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1071,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,881,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,966,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,915,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,812,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,876,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,772,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,654,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,796,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,879,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,867,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,958,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,649,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,819,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,716,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,593,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,794,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1308,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1072,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,809,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,614,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
