room_type_Entire home/apt,amenities,bathrooms,number_of_reviews,accommodates,review_scores_rating,bedrooms,host_response_rate,city_SF,beds,city_LA,host_identity_verified_t,cleaning_fee,instant_bookable_t,room_type_Private room,city_DC,property_type_House,cancellation_policy_strict,cancellation_policy_flexible,city_Chicago,city_NYC,cancellation_policy_moderate,property_type_Apartment,property_type_Condominium,property_type_Loft,bed_type_Real Bed,property_type_Townhouse,property_type_Other,property_type_Bed & Breakfast,bed_type_Futon
,328,,79.0,,,,0.46,,,,,,,,,,,,,,,,,,,,,,
,126,,98.0,,,,0.26,,,,,,,,,,,,,,,,,,,,,,
,285,,39.0,,,,0.61,,,,,,,,,,,,,,,,,,,,,,
,262,,187.0,,,,0.52,,,,,,,,,,,,,,,,,,,,,,
,150,,123.0,,,,0.23,,,,,,,,,,,,,,,,,,,,,,
,178,,70.0,,,,0.22,,,,,,,,,,,,,,,,,,,,,,
,197,,78.0,,,,0.69,,,,,,,,,,,,,,,,,,,,,,
,333,,55.0,,,,0.66,,,,,,,,,,,,,,,,,,,,,,
,205,,54.0,,,,0.15,,,,,,,,,,,,,,,,,,,,,,
,664,,52.0,,,,0.11,,,,,,,,,,,,,,,,,,,,,,
,357,,42.0,,,,0.31,,,,,,,,,,,,,,,,,,,,,,
,202,,75.0,,,,0.21,,,,,,,,,,,,,,,,,,,,,,
,232,,128.0,,,,0.47,,,,,,,,,,,,,,,,,,,,,,
,201,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,189,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,165,,254.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,266,,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,340,,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,260,,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,290,,191.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,125,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,307,,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,175,,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,372,,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,424,,129.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,327,,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,176,,318.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,338,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,208,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,49,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,146,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,551,,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,45,,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,222,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,92,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,158,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,293,,289.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,470,,190.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,147,,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,336,,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,219,,127.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,204,,154.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,299,,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,368,,216.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,240,,136.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,177,,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,223,,314.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,239,,112.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,358,,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,418,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,138,,181.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,386,,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,68,,117.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,286,,101.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,354,,106.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,121,,255.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,106,,114.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,379,,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,195,,192.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,112,,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,365,,113.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,615,,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,297,,182.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,322,,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,
